Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Singh, Sadhna; Mal, Indranil; Samajdar, Dip Prakash; Dutta, Koushik; ",Geometrical Optimization of Gallium Arsenide (GaAs) nanostructure based Solar Cells,Materials Today: Proceedings,58,,686-691,2022,Elsevier
"Mal, Indranil; Singh, Sadhna; Samajdar, Dip Prakash; ",Design and simulation of InAsBi PIN photodetector for Long wavelength Infrared applications,Materials Today: Proceedings,57,,289-294,2022,Elsevier
"Jain, Neelesh; Mal, Indranil; Samajdar, DP; Bagga, Navjeet; ",Theoretical exploration of the optoelectronic properties of InAsNBi/InAs heterostructures for infrared applications: A multi-band k· p approach,Materials science in semiconductor processing,148,,106822,2022,Pergamon
"Mal, Indranil; Samajdar, DP; ",InPNBi/InP heterostructures for optoelectronic applications: A k‧ p investigation,Materials Science in Semiconductor Processing,149,,106857,2022,Pergamon
"Jain, Neelesh; Mal, Indranil; Samajdar, DP; Bagga, Navjeet; ",Investigation of Optoelectronic Performance of InAsNBi for Infrared Detection,Tailored Functional Materials: Select Proceedings of MMETFP 2021,,,475-484,2022,Springer Nature Singapore Singapore
"Rajan, Chithraja; Samajdar, Dip Prakash; Mal, Indranil; ",First Principles Study of Structural and Optical Properties of InP and InP1− x N x,Tailored Functional Materials: Select Proceedings of MMETFP 2021,,,485-493,2022,Springer Nature Singapore Singapore
"Mal, Indranil; Jain, Neelesh; Samajdar, Dip Prakash; ",Bandgap Tailoring of InAsBi for Long Wavelength Infrared Applications Using Density Functional Theory,Tailored Functional Materials: Select Proceedings of MMETFP 2021,,,513-519,2022,Springer Nature Singapore Singapore
"Jain, Neelesh; Mal, Indranil; Tarek, Hidouri; Samajdar, Dip Prakash; ",Investigation of the optoelectronic properties of InAsNBi/InAs quantum confined heterostructure in the presence of hydrostatic pressure for long wavelength infrared sensing,Optical and Quantum Electronics,56,8,1291,2024,Springer US New York
"Zeeshan, Mohd; Mal, Indranil; Kumawat, Shivani; Kumar Vishwakarma, Chandan; Mani, BK; ",Ultralow lattice thermal conductivity in K2AuBi and its thermoelectric properties,Journal of Applied Physics,136,15,,2024,AIP Publishing
"Jain, Neelesh; Mal, Indranil; Singh, Sadhna; Samajdar, Dip Prakash; ",Photovoltaic functionality assessment of InPBi-based solar cells using a combination of density functional theory and finite element method analysis,Solar Energy,285,,113092,2025,Pergamon
"Kumawat, Shivani; Vishwakarma, Chandan Kumar; Zeeshan, Mohd; Mal, Indranil; Kumar, Sunil; Mani, BK; ",Emergence of half-metallic ferromagnetism and valley polarization in transition metal substituted WSTe monolayer,Physical Review Materials,9,5,054003,2025,American Physical Society
"Jain, Neelesh; Mal, Indranil; Samajdar, DP; Bagga, Navjeet; ",Investigation of Optoelectronic,Tailored Functional Materials: Select Proceedings of MMETFP 2021,15,,475,2022,Springer Nature
"Zeeshan, Mohd; Mal, Indranil; Mani, BK; ","Promising high temperature thermoelectric performance of alkali metal-based zintl phases X2AgY (X= Na, K; Y= Sb, Bi): Insights from first-principles studies",ACS Applied Energy Materials,8,20,15229-15240,2025,American Chemical Society
"Mal, Indranil; Kočí, Milan; Nicolini, Paolo; Hapala, Prokop; ",GridFF: Efficient Simulation of Organic Molecules on Rigid Substrates,Journal of Chemical Theory and Computation,,,,2025,American Chemical Society
